"georeg","doy","mean_ndvi","se_ndvi","mean_cci","se_cci","mean_pri","se_pri","mean_cire","se_cire","mean_car","se_car","mean_chlcar","se_chlcar","n_per_date"
"NWA",1,0.739460824805018,0.000416390086747594,0.138518596036538,0.000260621914466583,-0.016866707554711,0.000108216406391822,2.41952987907954,0.0028859600457326,3.21278735612878,0.0108654942180258,1.01455395404364,0.00515083762023745,21007
"NWA",9,0.735799295479654,0.000266028759381248,0.129580652322156,0.000144100609059199,-0.0175948296783813,6.47391437376021e-05,2.38137639423155,0.00195512990421969,3.09446873946471,0.0064013006009055,0.916391393558332,0.00235167955394168,40705
"NWA",17,0.743022258337639,0.000236571458211147,0.130245893217442,0.000122676545198841,-0.0254693082047054,7.69410064091043e-05,2.35918541471013,0.00146984022598563,3.82607387515473,0.00816708073942295,0.778086320382063,0.0022561964739581,46546
"NWA",25,0.731899459066999,0.000410470592515847,0.138517099631581,0.000246652427598128,-0.0177103278739479,9.27211402778564e-05,2.29292872142976,0.00270033424683608,3.10585912867172,0.00982354816116217,0.932416968933123,0.00383513026036645,23209
"NWA",33,0.693631643624382,0.000438643341346989,0.108838127642251,0.000231185676785803,-0.0175520784465673,8.98158960665077e-05,2.06451542159738,0.00265096232853095,2.49951865639336,0.0079775271125685,1.01840604155606,0.00444459497247644,20701
"NWA",41,0.683883621643946,0.000440048214100614,0.118459214022237,0.000224405751914166,-0.00825656208518245,9.04305718892273e-05,2.08064267179345,0.00272825409307861,2.02536016752379,0.00809940341205178,1.36462458726148,0.00567234361460066,22025
"NWA",49,0.712972047863725,0.000558900176513276,0.127576720996137,0.000303710514911818,-0.0149922370112734,9.72411280643739e-05,2.22954327962852,0.00359198493725978,2.76049194832942,0.0110526530857144,1.00849249402119,0.00443811988793382,16295
"NWA",57,0.692717800918325,0.000616817341079367,0.120083770554007,0.000313615521477532,-0.0108844802906476,0.000117941292359892,2.09776975971094,0.00393118695373314,2.12201757851441,0.00989197093815793,1.21075193757804,0.00617810735082557,10702
"NWA",65,0.692297357260923,0.000456948141116828,0.12687199834393,0.000227101279390407,-0.00599115001318684,8.66739123493185e-05,2.11834966695994,0.00277279604106635,1.977884281074,0.00763339121189396,1.44394620780444,0.00608157392635935,22007
"NWA",73,0.710034872044651,0.000378263767904182,0.122751506579008,0.00020080375931342,-0.0144407895316902,7.71943633818378e-05,2.23105731129804,0.00239325741689067,2.71004625704816,0.00811881564968043,1.0877228313507,0.0038567736646755,33086
"NWA",81,0.693279203907356,0.000444654635032221,0.117241150310686,0.000210640000773258,-0.01241995576552,8.45148129967494e-05,2.11801191758266,0.00275248464729461,2.33581715435735,0.00813425131847142,1.23057832180756,0.00554340904569697,24383
"NWA",89,0.699265006194041,0.000622709949616829,0.107966228619501,0.000292390641618882,-0.0210756862206865,0.000141182045046247,2.10970651606571,0.00348658603905043,3.22263264369878,0.0182257882000887,0.991012174161493,0.00546957382559841,16687
"NWA",97,0.704768542230737,0.000396308321252478,0.118402275402091,0.00018354365254445,-0.0184594911762349,8.77423415967852e-05,2.15090362267551,0.00238852778344121,2.97545788588903,0.00987523683801555,1.12544162231239,0.00472912222536909,39946
"NWA",105,0.722572614668796,0.000348772478910294,0.126833430431104,0.000174948192860313,-0.0200847406104579,8.29378840032814e-05,2.20524327896733,0.00204591044661781,3.19704958698709,0.0085623085873262,0.971761389666635,0.00382466099326694,39383
"NWA",113,0.733487350677801,0.000326384700194586,0.126342692821417,0.000189901164513234,-0.0263938723839826,7.27024555325763e-05,2.2223538178419,0.00195761515932536,3.78256683558337,0.00915665939679051,0.733486452607866,0.00215674569176202,39232
"NWA",121,0.746566582271063,0.00030155005877731,0.135476823506,0.000190894679961213,-0.0284212361025202,7.97339719090698e-05,2.28703390010673,0.00199384783513963,4.04589386690672,0.00945036942514812,0.677492767043804,0.00205895576906481,33161
"NWA",129,0.733146503888629,0.000323217275844435,0.125104569738148,0.000188123229414922,-0.0273958305781956,7.16575727684084e-05,2.19705207151693,0.00196262183332446,3.67520177448745,0.00889840584988814,0.693881247585347,0.00172229930787924,29344
"NWA",137,0.743686089348634,0.000375214309708943,0.144390740781707,0.000245910322363502,-0.0224063073724822,9.70636198160687e-05,2.2745311544046,0.00232955256915273,3.63123824686509,0.0105279793638519,0.765089361258008,0.00297173959592222,22036
"NWA",145,0.744901391737326,0.000762844763174273,0.128024790557504,0.000513286487876576,-0.0305139246802767,0.000198054774153676,2.30682884728099,0.00483740114524229,4.56242408171164,0.0280894168782098,0.644534659762995,0.00446364948038046,6903
"NWA",153,0.73940598576137,0.000382129460038265,0.130253856819737,0.000249267574497899,-0.0265619149217244,9.85057317033614e-05,2.26021281532186,0.00242567890086653,3.74465965723566,0.0110459592513446,0.716942036878117,0.00252493803058877,20387
"NWA",161,0.73861445362173,0.000338901296684898,0.139272593875061,0.000213571737245852,-0.0206356655839587,8.12531694725296e-05,2.26255960702388,0.00209107107731779,3.27988070557848,0.0086913860627464,0.814840410447629,0.00276863871237229,23375
"NWA",169,0.747577751668197,0.0002899587838055,0.132225459098915,0.000179200692944773,-0.0298760155384239,6.29489402742646e-05,2.29649499493595,0.00189727789648631,4.15950180790476,0.00817389798229532,0.626579780110695,0.00148712229705207,33971
"NWA",177,0.739423272864051,0.00026552800992402,0.132048038720194,0.000162259399311186,-0.025687156574039,5.93407582933238e-05,2.24207625985919,0.00159657325631583,3.59209888325985,0.00678114980670786,0.707748547848764,0.00145457492112314,38480
"NWA",185,0.736430059461761,0.000291971608755514,0.12680411402862,0.000175600709368159,-0.0268544356344583,6.63272765396573e-05,2.2197262140331,0.00178034603205742,3.67769057299003,0.00767770541025645,0.691208808926252,0.00159520187357984,33703
"NWA",193,0.762648734652075,0.00032439175598317,0.132663841855247,0.000177816527690958,-0.0344942426449982,9.1197365819106e-05,2.37198798788396,0.00197919092990051,4.84578440879294,0.0111734777834627,0.584777629599375,0.00190018057643748,28201
"NWA",201,0.711180407925075,0.000398261279748087,0.116409450006902,0.000202520718888136,-0.0216052042923528,0.000124610987484603,2.07948467690749,0.00216668384858376,3.01534969004449,0.0122164803933369,0.943573519707974,0.00415321709091484,21338
